Transaction_ID,Auth_Lifecycle_ID
3b530a0c-641e-5fd6-afa1-028400a15487,c6cfb8a5-bbab-58fc-ae92-98cd298cfcaa
48e93e6d-a952-53ba-bbc8-da79270989c7,3fc3a311-6373-55b4-8202-4024f5926a14
e8105c61-31e4-5e7b-8abc-089494bc1617,748903e0-83fa-59e6-a2de-ffb07387f11d
cbd74c30-65f2-5b8e-86a9-ccb857e75bb2,86909d75-65ab-5bf2-94f9-1e811a2fa853
a20b1c2d-dc7c-5011-a30c-26714c866409,295924b8-3a96-59a4-8934-db4da40ee37a
b4cddcfe-52eb-55ea-b444-fe0dff4c0ce7,0fdddcc3-1f6d-5b26-9d41-3e7fb7ca9fb6
ac91c719-95a4-5bd1-a975-4d167c14c188,96be3646-e9a4-5149-aa71-29d47ed742e1
796d20c8-8af8-538a-9323-21dd12d41c9e,741d35cf-92fe-5f55-aa85-1be2e1f89f97
9de15150-77ab-52f8-a2e2-64201663884b,dad24a02-b888-58b3-af4f-1b9592248663
79c07524-8b6d-503a-b8ce-98c7c911ed61,d37a482d-f812-578a-b0a3-a337c8c21f94
a9b0cc10-d88b-5e30-9a1d-62587b4059d4,a34aa83b-f866-5466-a5cb-cb83423f4d09
3c805578-9026-55f6-b305-4fc86d94611a,952458c6-9787-5353-ae35-da43f0d71407
16716c66-313a-5d7e-b8be-66ee411e2fd8,850b1d4d-10bd-5aae-80b9-02e54bb1c045
f86c2e9b-bec6-5f1e-9c06-3044a08678d4,c50b58ef-21ca-5fdc-8450-66fdbd77595f
4a8fc5b8-6701-5879-8f88-1f1cb63f5c21,151834ad-d2a6-5ec8-845f-1d4406426ffc
374cfd8f-5b98-5cbf-bf5b-851258c3beb4,80207c35-c804-5e39-9177-e37232cf2205
d2ba5bfb-44fb-5f2f-be00-470d023270ad,3c7841c1-a429-58ab-91e6-5fdbd55aa94c
b630be30-f5e3-5df2-a51a-b562537281ed,2e729bce-9416-5499-b305-9a989b52f4c4
5bd9b73a-a4b0-5fa7-a147-0845995a8daf,29855a4c-1703-513b-b2f7-a9390e6ac61e
14db260a-3f38-550f-8794-087737b91b0d,991fe0de-979d-5aec-88b1-7d6f05d4359f
04bcf135-d87c-5c02-942d-41f97afd38b2,514092b7-e21b-5047-a040-6f874491aeed
222a94af-5132-595d-8b5d-af4353b41363,9ffdd57f-ed80-58af-8584-c2d11b7fe842
6abbad0f-66c9-5017-8cd1-907c55671a66,c5fcdb6d-c8af-5c84-b947-f55dfe02a2fe
a6ad298e-5601-5e1f-b746-175cb8a23ea1,fec21151-cf24-511f-89ca-9f4df96ee132
de50661e-f483-5dc8-9f24-81b253ccbf63,a6967b69-a7c1-54af-9a1b-d3504708b801 